title,author,binding,list_price,price,stock,isbn,publisher,publication_date,size,categories,url
"ANA MARÍA AND THE FOX (LUNA SISTERS, BK. 1)","De la Rosa, Liana",Paperback,$18.00 ,$3.00 ,100,9.78059E+12,Berkley Publishing Group,4/4/23,"7.92"" l x 5.10"" w x 1.12""","['Fiction', 'Romance', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9780593440889B/ana-maria-and-the-fox-luna-sisters-bk-1
ANGELIKA FRANKENSTEIN MAKES HER MATCH,"Thorne, Sally",Hardcover,$28.99 ,$1.88 ,167,9.78006E+12,Avon Books,9/6/22,"9.28"" l x 6.22"" w x 1.40""","['Fiction', 'Romance', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9780063271630B/angelika-frankenstein-makes-her-match
ANGELS IN THE SNOW,"Becnel, Rexanne",Pocket Books,$7.99 ,$2.00 ,14,9.7815E+12,Pocket Books,10/27/15,"6.70"" l x 4.12"" w x 0.84""","['Fiction', 'Romance', 'Fiction', 'Holidays']",https://www.bookdepot.com/Store/Details/9781501133329B/angels-in-the-snow
"ANGRY GOD (ALL SAINTS, BK. 3)","Shen, L. J.",Paperback,$16.99 ,$3.00 ,929,9.78173E+12,Bloom Books,12/19/23,"8.20"" l x 5.57"" w x 1.24""","['Fiction', 'Suspense', 'Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9781728293639B/angry-god-all-saints-bk-3
ANNE OF MANHATTAN,"Starler, Brina",Paperback,$15.99 ,$1.38 ,85,9.78006E+12,William Morrow & Company,6/1/21,"7.93"" l x 5.21"" w x 0.89""","['Fiction', 'Romance', 'Fiction', 'Coming of Age', 'Fiction', 'Humorous']",https://www.bookdepot.com/Store/Details/9780063020740B/anne-of-manhattan
ANNIHILATION ROAD (TORPEDO INK),"Feehan, Christine",Pocket Books,$8.99 ,$1.50 ,58,9.78059E+12,Berkley Publishing Group,12/28/21,"6.73"" l x 4.12"" w x 1.25""","['Fiction', 'Romance', 'Fiction', 'Fantasy']",https://www.bookdepot.com/Store/Details/9780593333204B/annihilation-road-torpedo-ink
ANTOINETTE'S SISTER,"Giovinazzo, Diana",Hardcover,$28.00 ,$1.88 ,105,9.78154E+12,Grand Central Publishing,1/11/22,"9.29"" l x 6.31"" w x 1.44""","['Fiction', 'Historical', 'Fiction', 'Family Life', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9781538720127B/antoinettes-sister
"ANY ROGUE WILL DO (MISFITS OF MAYFAIR, BK. 1)","Bennett, Bethany",Pocket Books,$7.99 ,$2.00 ,235,9.78154E+12,Forever,10/13/20,"6.72"" l x 4.07"" w x 1.12""","['Fiction', 'Romance', 'Fiction', 'Historical', 'Fiction', 'Sagas']",https://www.bookdepot.com/Store/Details/9781538735664B/any-rogue-will-do-misfits-of-mayfair-bk-1
"ANY TIME, ANY PLACE (THE BILLIONAIRE BUILDERS, BK. 2)","Probst, Jennifer",Paperback,$16.00 ,$1.37 ,2,9.7815E+12,Gallery Books,1/24/17,"8.31"" l x 5.30"" w x 1.10""","['Fiction', ""Women's Fiction"", 'Fiction', 'Contemporary', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9781501124266B/any-time-any-place-the-billionaire-builders-b
"APHRODITE AND THE DUKE (THE DUBELLS, BK. 1)","McAvoy, J. J.",Pocket Books,$9.99 ,$2.50 ,91,9.78059E+12,Dell Publishing Company,4/25/23,"7.51"" l x 4.24"" w x 1.06""","['Fiction', 'Romance', 'Fiction', 'Historical', 'Fiction', 'Cultural Heritage']",https://www.bookdepot.com/Store/Details/9780593594537B/aphrodite-and-the-duke-the-dubells-bk-1
"THE APOSTLE'S SISTER (JERUSALEM ROAD, BK. 4)","Hunt, Angela",Paperback,$16.99 ,$2.75 ,3,9.78076E+12,Bethany House,6/7/22,"8.48"" l x 5.54"" w x 1.20""","['Fiction', 'Religious', 'Fiction', 'Historical', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780764233876B/the-apostles-sister-jerusalem-road-bk-4
"APRIL MAY FALL (MOMMY WARS, BK. 3)","Hovland, Christina",Paperback,$15.99 ,$1.87 ,1,9.78165E+12,"Entangled Publishing, LLC",10/26/21,"8.05"" l x 5.32"" w x 1.05""","['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9781649370921B/april-may-fall-mommy-wars-bk-3
THE ARC,"Hoen, Tory Henwood",Hardcover,$27.99 ,$1.50 ,67,9.78125E+12,St. Martin's Press,2/8/22,"9.53"" l x 6.40"" w x 1.30""","['Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9781250276773B/the-arc
"ARCHANGEL'S RESURRECTION (A GUILD HUNTER NOVEL, BK. 15)","Singh, Nalini",Pocket Books,$8.99 ,$1.69 ,5,9.78059E+12,Berkley Publishing Group,10/25/22,"6.71"" l x 4.08"" w x 1.25""","['Fiction', 'Romance', 'Fiction', 'Fantasy', 'Fiction', 'Occult']",https://www.bookdepot.com/Store/Details/9780593198162B/archangels-resurrection-a-guild-hunter-novel
ARMS OF LOVE,"Long, Kelly",Paperback,$15.99 ,$2.75 ,27,9.7814E+12,Thomas Nelson,4/3/12,"8.44"" l x 5.53"" w x 0.90""","['Fiction', 'Romance', 'Fiction', 'Religious']",https://www.bookdepot.com/Store/Details/9781401684969B/arms-of-love
THE ART OF SCANDAL,"Black, Regina",Hardcover,$28.00 ,$3.75 ,586,9.78154E+12,Grand Central Publishing,8/1/23,"9.36"" l x 6.17"" w x 1.20""","['Fiction', 'Romance', 'Fiction', 'African American', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9781538722770B/the-art-of-scandal
