begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
2024-06-14T00:00:00Z,174.220000,176.790000,177.062300,174.150000,18063555,reg,False,GOOGL
2024-06-17T00:00:00Z,175.460000,177.240000,178.360000,174.810000,19618497,reg,False,GOOGL
2024-06-18T00:00:00Z,177.140000,175.090000,177.385000,174.104200,21869857,reg,False,GOOGL
2024-06-20T00:00:00Z,175.370000,176.300000,177.290000,174.990000,20160085,reg,False,GOOGL
2024-06-21T00:00:00Z,177.000000,179.630000,180.850000,176.610000,58582743,reg,False,GOOGL
2024-06-24T00:00:00Z,180.160000,179.220000,180.890000,178.670000,18298012,reg,False,GOOGL
2024-06-25T00:00:00Z,179.620000,183.997500,184.290000,179.420000,23235589,reg,False,GOOGL
2024-06-26T00:00:00Z,182.630000,183.880000,184.510000,182.480000,19838972,reg,False,GOOGL
2024-06-27T00:00:00Z,184.180000,185.410000,186.050000,184.020000,18848884,reg,False,GOOGL
2024-06-28T00:00:00Z,184.320000,182.070000,185.130000,181.960000,29156644,reg,False,GOOGL
2024-07-01T00:00:00Z,183.030000,182.990000,183.880000,181.300000,16006128,reg,False,GOOGL
2024-07-02T00:00:00Z,182.050000,185.240000,185.570000,181.560000,17372485,reg,False,GOOGL
2024-07-03T00:00:00Z,184.850000,185.820000,186.090000,184.000000,10242126,reg,False,GOOGL
2024-07-05T00:00:00Z,185.855000,190.600000,190.860000,185.800000,20967450,reg,False,GOOGL
2024-07-08T00:00:00Z,189.895000,189.030000,190.170000,187.780000,21035886,reg,False,GOOGL
2024-07-09T00:00:00Z,189.030000,189.030000,189.030000,189.030000,0,reg,True,GOOGL
2023-07-10T00:00:00Z,129.070000,127.130000,129.280000,125.915000,61889289,reg,False,AMZN
2023-07-11T00:00:00Z,127.750000,128.780000,129.770000,127.350000,49951460,reg,False,AMZN
2023-07-12T00:00:00Z,130.310000,130.800000,131.260000,128.830000,54022847,reg,False,AMZN
2023-07-13T00:00:00Z,134.040000,134.300000,134.670000,132.710000,61170883,reg,False,AMZN
2023-07-14T00:00:00Z,134.060000,134.680000,136.650000,134.060000,54487090,reg,False,AMZN
2023-07-17T00:00:00Z,134.560000,133.560000,135.620000,133.210000,48450198,reg,False,AMZN
2023-07-18T00:00:00Z,132.710000,132.830000,133.860000,131.355000,54969133,reg,False,AMZN
2023-07-19T00:00:00Z,133.390000,135.360000,135.990000,132.530000,54531037,reg,False,AMZN
2023-07-20T00:00:00Z,134.070000,129.960000,134.791500,129.330000,59820579,reg,False,AMZN
2023-07-21T00:00:00Z,131.340000,130.000000,131.370000,128.415000,133307294,reg,False,AMZN
2023-07-24T00:00:00Z,130.305000,128.800000,131.660000,128.350000,45671535,reg,False,AMZN
